"Title","Author.Creator","Year","Region","to_annotate","annotation_characters","annotation_events","annotation_settings","score_characters","score_events","score_settings"
"The Bible","Various",100,"Middle East","The Bible by Various written in 100","The Bible is a collection of religious texts that includes a wide range of characters. Some of these characters, such as historical figures like King David or Pontius Pilate, are real individuals who are documented outside of the biblical texts. However, many other characters, such as Adam and Eve, Noah, and Moses, are figures whose historical existence is debated and often considered improbable by scholars due to the lack of corroborating evidence outside of religious tradition. Additionally, there are characters like angels, demons, and God, whose existence is considered impossible from a historical and scientific perspective. Given this mix, the main characters in the Bible range from real to those that could not have existed. However, focusing on the more fantastical elements, the score leans towards characters that could not have existed. Score=4","The Bible is a collection of religious texts that includes a variety of literary genres, such as historical narratives, poetry, prophecy, and law. When evaluating the events described in the Bible, it's important to recognize that it contains both historical accounts and theological narratives. Some events, like the reigns of certain kings or the existence of specific cities, are supported by archaeological evidence and historical records, while others, such as miraculous events or creation stories, are matters of faith and not verifiable by historical methods.

For the purpose of this evaluation, if we consider the Bible as a whole, it contains a mix of actual historical events with invented details (e.g., the existence of certain historical figures and places) and invented historical events whose occurrence is improbable (e.g., miracles and divine interventions). Therefore, the Bible as a literary work spans across different points on the scale, but if we focus on the more miraculous and theological narratives, they would be classified as invented historical events whose occurrence is improbable.

Score=3","The Bible, as a collection of religious texts, contains a variety of settings that range from real geographical locations to more symbolic or allegorical places. Many of the locations mentioned, such as Jerusalem, Egypt, and Babylon, are real geographical locations with historical significance. However, the Bible also includes places like the Garden of Eden and the Land of Nod, which are more symbolic and whose existence is improbable or allegorical. Given the mix of real and symbolic locations, the settings in the Bible can be seen as real geographical locations with invented details, as well as invented locations that could have existed or whose existence is improbable. For the purpose of this evaluation, focusing on the invented locations whose existence is improbable, the score would be:

Score=3",4,3,3
"The Epic of Gilgamesh","Anonymous",-2100,"Mesopotamia","The Epic of Gilgamesh by Anonymous written in -2100","The Epic of Gilgamesh is an ancient Mesopotamian poem that features a mix of historical and mythological elements. The main character, Gilgamesh, is based on a historical figure, a king of Uruk, but his portrayal in the epic includes numerous mythological and fantastical elements, such as his part-divine nature and his interactions with gods and mythical creatures. This blend of historical basis with significant fictional embellishments places the main character in the category of ""Invented characters who could have existed,"" as the historical Gilgamesh likely did not possess the extraordinary attributes and experiences described in the epic. Score=2","The Epic of Gilgamesh is an ancient Mesopotamian poem that includes a mix of historical and mythological elements. The character of Gilgamesh is based on a historical figure, a king of Uruk, but the events described in the epic, such as his friendship with Enkidu, the journey to the Cedar Forest, and the encounter with the gods, are largely mythological and fantastical. These events are invented and involve interactions with divine beings and mythical creatures, making their occurrence improbable in a historical context. Therefore, the events in The Epic of Gilgamesh are best categorized as invented historical events whose occurrence is improbable. Score=3","The Epic of Gilgamesh is an ancient Mesopotamian text that features a mix of real and mythical settings. The city of Uruk, where much of the story takes place, is a real geographical location that existed in ancient Sumer, which is part of modern-day Iraq. However, the epic also includes fantastical elements and locations, such as the Cedar Forest and the abode of the gods, which are more mythical in nature. These invented locations are described in a way that suggests they could have existed within the mythological framework of the time, but their existence is improbable in the real world. Therefore, the settings in The Epic of Gilgamesh can be evaluated as invented locations whose existence is improbable. Score=3",2,3,3
"Harry Potter (series)","J.K. Rowling",1997,"United Kingdom","Harry Potter (series) by J.K. Rowling written in 1997","The main characters in the ""Harry Potter"" series by J.K. Rowling include Harry Potter, Hermione Granger, and Ron Weasley, among others. These characters are entirely fictional and exist within a world that includes magical elements such as wizards, witches, and mythical creatures. While they are portrayed with human-like qualities and emotions, their existence is tied to a magical universe that does not exist in reality. Therefore, the characters are invented and could not have existed in the real world. Score=4","The Harry Potter series by J.K. Rowling is a work of fantasy fiction that includes a magical world with wizards, witches, and various magical creatures. The events in the series, such as attending a school for witchcraft and wizardry, using magic spells, and interacting with mythical creatures, are entirely invented and rely on the existence of a magical world that does not exist in reality. These events could not have occurred in the real world as they are based on the premise of magic, which is not a part of actual historical events. Therefore, the events in the Harry Potter series fall under the category of ""Invented historical events that could not have occurred."" Score=4","The ""Harry Potter"" series by J.K. Rowling is set in a world that includes both real geographical locations and invented ones. The story takes place in the United Kingdom, with real locations such as London and King's Cross Station being featured. However, the series also introduces invented locations like Hogwarts School of Witchcraft and Wizardry, Diagon Alley, and Hogsmeade. These invented locations are integrated into the real world in a way that suggests they could exist hidden from the non-magical population, but their magical nature and the existence of a hidden wizarding world make their actual existence improbable. Therefore, the setting of the ""Harry Potter"" series can be classified as invented locations whose existence is improbable. Score=3",4,4,3
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",2011,"Israel","Sapiens: A Brief History of Humankind by Yuval Noah Harari written in 2011","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction book that explores the history and development of Homo sapiens. The main characters in this work are real historical figures and groups, such as early humans, ancient civilizations, and notable historical figures. Harari discusses real characters and events, although he sometimes speculates on their thoughts and motivations, which could be seen as adding invented biographical details. However, the primary focus remains on real characters and historical facts. Therefore, the main characters can be classified as real characters with some invented biographical details for illustrative purposes. Score=1","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction book that explores the history of Homo sapiens from the emergence of archaic human species to the present. The book is known for its broad synthesis of history, anthropology, and science, and it often presents historical events and developments with a mix of factual information and interpretative analysis.

When evaluating the events described in ""Sapiens,"" Harari often discusses actual historical events, such as the Agricultural Revolution and the Cognitive Revolution, but he also includes speculative interpretations and hypothetical scenarios to illustrate his points. These interpretations are based on scientific and historical evidence but sometimes extend into the realm of educated conjecture about human behavior and societal development.

Given this blend of factual history with interpretative and speculative elements, the events in ""Sapiens"" can be categorized as actual historical events with invented details or interpretations. Therefore, the appropriate score for the events in ""Sapiens"" is:

Score=1","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction book that explores the history and development of Homo sapiens. The book primarily discusses real geographical locations, such as Africa, where Homo sapiens originated, and other parts of the world where humans migrated and settled over time. Harari uses historical and archaeological evidence to support his narrative, focusing on real places and events. Therefore, the settings in ""Sapiens"" are based on real geographical locations without invented details. Score=0",1,1,0
"Shark Attack (film series)","Various (first film by Bob Misiorowski)",1999,"United States","Shark Attack (film series) by Various (first film by Bob Misiorowski) written in 1999","The ""Shark Attack"" film series primarily features characters who are invented and exist within the realm of fictional storytelling. These characters are often scientists, divers, or locals dealing with shark-related threats. While the characters are crafted to fit into a plausible narrative involving sharks, the scenarios and character actions often stretch believability, especially as the series progresses. However, the characters themselves are not fantastical or supernatural; they are human characters that, while dramatized, could theoretically exist in a world where such exaggerated shark attacks occur. Therefore, they fall into the category of invented characters who could have existed, albeit in a highly dramatized and unlikely scenario. Score=2","The ""Shark Attack"" film series, starting with the first film directed by Bob Misiorowski in 1999, primarily revolves around fictional scenarios involving aggressive shark behavior and attacks. While shark attacks are real events that occur in nature, the series often exaggerates and dramatizes these events for entertainment purposes. The portrayal of sharks as consistently aggressive and targeting humans in coordinated attacks is an improbable scenario, as it does not align with typical shark behavior observed in reality. Therefore, the events depicted in the series are invented historical events whose occurrence is improbable. Score=3","The ""Shark Attack"" film series, starting with the first film directed by Bob Misiorowski in 1999, primarily takes place in real geographical locations, such as coastal areas where shark attacks could plausibly occur. However, the series often incorporates invented details and fictionalized settings within these real locations to enhance the drama and suspense of the narrative. For example, the films might depict fictional towns or research facilities that are not based on actual places but are situated in real-world geographical contexts. This blend of real locations with invented details aligns with the second category on the scale. 

Score=1",2,3,1
"1984","George Orwell",1949,"United Kingdom","1984 by George Orwell written in 1949","In George Orwell's ""1984,"" the main characters, such as Winston Smith, Julia, and O'Brien, are invented characters who could have existed. They are portrayed as ordinary citizens living under a totalitarian regime, and their characteristics and actions are plausible within the context of the dystopian society Orwell describes. The novel's setting and the oppressive government are fictional, but the characters themselves are realistic and could exist in a similar real-world scenario. Therefore, they fall into the category of invented characters who could have existed. Score=2","In George Orwell's ""1984,"" the events depicted are set in a dystopian future where a totalitarian regime exercises extreme control over every aspect of life, including thought and language. The novel presents a fictional society with invented historical events, such as the perpetual war between superstates and the existence of the Party's oppressive rule. While Orwell's work is a powerful allegory and critique of totalitarianism, the specific historical events described in the book, such as the existence of Oceania, Eurasia, and Eastasia, and the concept of ""Newspeak,"" are not actual historical events. However, they are constructed in a way that reflects real historical tendencies and could be seen as a possible, albeit extreme, extrapolation of certain political trends. Therefore, the events are invented historical events whose occurrence is improbable. Score=3","In George Orwell's ""1984,"" the setting is a dystopian future where the world is divided into three superstates: Oceania, Eastasia, and Eurasia. These locations are invented but are based on real geographical regions and political entities, suggesting a world that could have existed under different historical circumstances. The superstates are fictional constructs, but they are grounded in the geopolitical realities and tensions of the mid-20th century, making their existence plausible within the context of the novel's alternate history. Therefore, the setting falls under the category of invented locations that could have existed. Score=2",2,3,2
"The Tale of Genji","Murasaki Shikibu",1000,"Japan","The Tale of Genji by Murasaki Shikibu written in 1000","""The Tale of Genji"" by Murasaki Shikibu is a classic work of Japanese literature that is often considered the world's first novel. The main character, Hikaru Genji, is an invented character who is portrayed as a nobleman in the Heian period of Japan. While the setting and cultural context are based on real historical elements, Genji himself is a fictional creation. However, his character is crafted with such depth and realism that he could plausibly have existed within the historical context of the time. Therefore, the main character falls into the category of ""Invented characters who could have existed."" Score=2","""The Tale of Genji"" by Murasaki Shikibu is a classic work of Japanese literature that is often considered the world's first novel. It is set in the Heian period of Japan and follows the life and romances of Hikaru Genji, a fictional prince. While the novel provides a detailed depiction of court life and customs during the Heian period, the events themselves are largely fictional. The narrative includes invented historical events and personal dramas that, while they reflect the cultural and social context of the time, are not based on actual historical events or figures. Therefore, the events in ""The Tale of Genji"" are best categorized as invented historical events that could have occurred, given the realistic portrayal of the era's court life and societal norms. Score=2","""The Tale of Genji"" by Murasaki Shikibu is set in Heian-era Japan, specifically in the city of Kyoto and its surrounding areas. The settings are based on real geographical locations that existed during the time the novel was written. However, while the locations themselves are real, the details and descriptions of these places are often embellished or fictionalized to suit the narrative and aesthetic purposes of the story. This aligns with the scale's definition of real geographical locations with invented details. Therefore, the appropriate score for the settings in ""The Tale of Genji"" is Score=1.",2,2,NA
"The Nibelungenlied","Anonymous",1200,"Germany","The Nibelungenlied by Anonymous written in 1200","The Nibelungenlied is a medieval epic poem that features a mix of historical and legendary figures. The main characters include Siegfried, Kriemhild, and Hagen, among others. While some characters, like the Burgundian kings, have historical counterparts, the narrative is heavily mythologized, and many elements of the characters' stories are fantastical. Siegfried, for instance, is a legendary hero with superhuman abilities, such as invulnerability, which makes his existence improbable in a historical context. Therefore, the main characters in The Nibelungenlied are best categorized as invented characters whose existence is improbable. Score=3","The Nibelungenlied is a medieval epic poem that blends historical elements with mythological and legendary aspects. The poem is loosely based on historical events and figures from the 5th and 6th centuries, such as the Burgundian kingdom and the Huns, but it incorporates significant legendary and mythical elements, such as the dragon-slayer Siegfried and the treasure of the Nibelungs. While some characters and events have historical roots, the narrative is heavily fictionalized and includes supernatural elements, making the occurrence of events as described in the poem improbable. Therefore, the events in The Nibelungenlied are best categorized as invented historical events whose occurrence is improbable. Score=3","The Nibelungenlied is a medieval epic poem that primarily takes place in real geographical locations, such as the Burgundian kingdom at Worms on the Rhine River, and other locations like Hungary. However, while these are real places, the poem includes invented details and legendary elements that are not historically accurate. The settings are based on real locations but are embellished with mythical and legendary aspects, which fits the criteria for real geographical locations with invented details. Therefore, the appropriate score for the settings in The Nibelungenlied is: Score=1",3,3,1
"The Divine Comedy","Dante Alighieri",1320,"Italy","The Divine Comedy by Dante Alighieri written in 1320","The main characters in ""The Divine Comedy"" by Dante Alighieri include Dante himself, who is a real historical figure, and Virgil, a real Roman poet. However, the narrative places these characters in a fictional journey through the realms of the afterlife, which involves invented biographical details and interactions that did not occur in reality. Therefore, the main characters are real but are presented with invented biographical details. Score=1","The Divine Comedy by Dante Alighieri is a narrative poem that describes the journey of the protagonist, Dante, through the realms of the afterlife: Hell (Inferno), Purgatory (Purgatorio), and Heaven (Paradiso). The events depicted in the poem are not based on actual historical events but rather on a fictional and allegorical journey through these spiritual realms. The structure and content of the afterlife as described by Dante are imaginative and symbolic, reflecting theological and philosophical ideas of the time rather than any historical reality. Therefore, the events in The Divine Comedy are invented historical events that could not have occurred, as they involve a journey through a metaphysical and allegorical landscape that is not part of the physical world. Score=4","The Divine Comedy by Dante Alighieri is a literary work that describes an allegorical journey through the realms of the afterlife: Hell (Inferno), Purgatory (Purgatorio), and Heaven (Paradiso). These settings are not real geographical locations but are instead imaginative constructs that serve as metaphors for spiritual and moral states. The detailed descriptions of these realms, such as the circles of Hell and the terraces of Purgatory, are highly imaginative and symbolic, reflecting Dante's theological and philosophical views. Given that these locations are entirely invented and serve a symbolic purpose, their existence is improbable in a literal sense. Therefore, the settings in The Divine Comedy fall under the category of ""Invented locations whose existence is improbable."" Score=3",1,4,3
"Le Morte d’Arthur","Sir Thomas Malory",1485,"England","Le Morte d’Arthur by Sir Thomas Malory written in 1485","""Le Morte d’Arthur"" by Sir Thomas Malory is a compilation of Arthurian legends, which are a blend of folklore, literary invention, and historical speculation. The main characters, such as King Arthur, Merlin, Lancelot, and Guinevere, are largely invented characters whose existence is improbable. While there may be some historical basis for a figure like Arthur, the characters as depicted in Malory's work are deeply embedded in myth and legend, with magical elements and fantastical adventures that make their actual historical existence unlikely. Therefore, the main characters fall into the category of invented characters whose existence is improbable. Score=3","""Le Morte d’Arthur"" by Sir Thomas Malory is a compilation of Arthurian legends, which are a blend of folklore, literary invention, and some historical elements. The work is based on the legendary figure of King Arthur, who is believed to have been a real leader in post-Roman Britain, though his historical existence is debated and not definitively proven. The events in ""Le Morte d’Arthur"" include the formation of the Knights of the Round Table, the quest for the Holy Grail, and the eventual downfall of Arthur's kingdom. These events are largely considered to be fictional, as they involve mythical elements and characters such as Merlin, magical swords, and fantastical quests. While they are inspired by medieval chivalric ideals and some historical contexts, the specific events described in the work are not grounded in verifiable history and are considered to be legendary or mythical in nature. Therefore, the events in ""Le Morte d’Arthur"" are best categorized as invented historical events whose occurrence is improbable. Score=3","""Le Morte d’Arthur"" by Sir Thomas Malory is a compilation of Arthurian legends, which are set in a mix of real and fictional locations. The work includes references to real geographical locations such as England and France, but it also features invented places like Camelot and Avalon. These invented locations are central to the Arthurian legends and are depicted as plausible within the context of the medieval world, yet they lack historical evidence of existence. Therefore, they fall into the category of invented locations that could have existed, as they are crafted to fit within the medieval setting and are not inherently impossible. Score=2",3,3,2
